"Theta [deg]","normalize(GainTotal) [] - Freq='1GHz' Phi='0deg'"
0,7.10635909992182E-08
2,0.000705471429899915
4,0.00284486176099132
6,0.00642577713727076
8,0.0114601698342887
10,0.0179640052915747
12,0.0259566997199227
14,0.0354604008060262
16,0.0464991140198056
18,0.0590976784837112
20,0.0732805982723002
22,0.0890707374000492
24,0.106487889626838
26,0.125547237539031
28,0.146257719097931
30,0.168620323907905
32,0.192626345738802
34,0.218255622211266
36,0.245474796866359
38,0.274235642918765
40,0.304473491644952
42,0.336105811379297
44,0.369030985268492
46,0.403127337050179
48,0.438252453961521
50,0.474242854244791
52,0.510914043419784
54,0.548060998390913
56,0.585459111452798
58,0.622865617318325
60,0.66002151546336
62,0.696653987502379
64,0.73247929522505
66,0.767206129694373
68,0.800539365905277
70,0.832184161508144
72,0.861850322683306
74,0.889256846141457
76,0.914136534178421
78,0.936240570469719
80,0.955342938522321
82,0.971244562960352
84,0.983777056494114
86,0.992805962685438
88,0.998233396418111
90,1
92,0.998086152506987
94,0.992512392547073
96,0.983339039111889
98,0.970665020500006
100,0.954625946289234
102,0.935391480861486
104,0.913162097986338
106,0.888165313539318
108,0.860651506863589
110,0.830889450115764
112,0.799161668966288
114,0.765759757311506
116,0.73097976350096
118,0.695117756500775
120,0.658465668076228
122,0.621307492266818
124,0.583915906980886
126,0.546549365289048
128,0.509449686731861
130,0.472840162375104
132,0.43692417202763
134,0.401884298430996
136,0.367881911647913
138,0.335057187493998
140,0.303529516727628
142,0.273398256782951
144,0.244743774962618
146,0.217628730996451
148,0.192099547473398
150,0.168188018595654
152,0.145913010706514
154,0.125282211833706
156,0.106293891809376
158,0.0889386391414744
160,0.0732010455119574
162,0.0590613133881591
164,0.0464967666102679
166,0.0354832478466526
168,0.025996390407195
170,0.0180127550190768
172,0.0115108247729167
174,0.00647185353781133
176,0.00288056474210122
178,0.000725698562873946
180,4.06318941848508E-07
