"Freq [GHz]","re(Z(1,1)) []"
1.804,548.564626317879
1.808,552.156958801429
1.812,555.530806981804
1.816,558.680832715806
1.82,561.602266691437
1.824,564.290932111544
1.828,566.743264551748
1.832,568.956327795911
1.836,570.927825501579
1.84,572.656108599501
1.844,574.140178384141
1.848,575.379685305346
1.852,576.37492352376
1.856,577.126821343149
1.86,577.636927680752
1.864,577.907394781063
1.868,577.940957418334
1.872,577.74090886811
1.876,577.311073957489
1.88,576.65577952751
1.884,575.779822658666
1.888,574.688437022139
1.892,573.387257724913
1.896,571.88228501689
1.9,570.17984722248
1.904,568.286563248812
1.908,566.209305007621
1.912,563.955160069227
1.916,561.531394844843
1.92,558.945418568865
1.924,556.204748326101
1.928,553.316975340893
1.932,550.289732716287
1.936,547.130664782423
1.94,543.847398184572
1.944,540.447514813293
1.948,536.938526652312
1.952,533.327852594296
1.956,529.62279725102
1.96,525.830531762567
1.964,521.958076590464
1.968,518.012286262032
1.972,513.999836017661
1.976,509.927210299547
1.98,505.800693009018
1.984,501.626359450564
1.988,497.410069873262
1.992,493.157464514957
1.996,488.873960050628
2,484.56474734416
