"Freq [GHz]","dB(S(1,1)) []"
1.392,-1.1360591040595
1.396,-1.12692295381796
1.4,-1.11801566574014
1.404,-1.10933074480674
1.408,-1.10086193647257
1.412,-1.09260321613929
1.416,-1.08454877915914
1.42,-1.07669303133943
1.424,-1.06903057991962
1.428,-1.0615562249944
1.432,-1.05426495135803
1.436,-1.04715192074661
1.44,-1.04021246445633
1.444,-1.03344207631727
1.448,-1.02683640600333
1.452,-1.02039125266024
1.456,-1.01410255883456
1.46,-1.00796640468757
1.464,-1.0019790024791
1.468,-0.996136691306899
1.472,-0.990435932088385
1.476,-0.98487330277195
1.48,-0.97944549376613
1.484,-0.974149303575342
1.488,-0.968981634631675
1.492,-0.963939489312767
1.496,-0.959019966136379
1.5,-0.954220256122802
1.504,-0.94953763931672
1.508,-0.944969481460599
1.512,-0.94051323081218
1.516,-0.936166415098977
1.52,-0.931926638603074
1.524,-0.927791579369991
1.528,-0.923758986535535
1.532,-0.919826677765078
1.536,-0.91599253679983
1.54,-0.912254511105094
1.544,-0.908610609615649
1.548,-0.905058900573763
1.552,-0.901597509455474
1.556,-0.898224616981074
1.56,-0.894938457205887
1.564,-0.891737315687739
1.568,-0.888619527727489
1.572,-0.885583476679463
1.576,-0.8826275923285
1.58,-0.87975034933074
1.584,-0.87695026571522
1.588,-0.874225901443603
1.592,-0.871575857025558
1.596,-0.868998772187166
1.6,-0.866493324590254
1.604,-0.864058228600241
1.608,-0.861692234100564
1.612,-0.859394125351564
1.616,-0.857162719891993
1.62,-0.854996867481294
1.624,-0.852895449080958
1.628,-0.850857375873288
1.632,-0.848881588315985
1.636,-0.846967055231118
1.64,-0.845112772926991
1.644,-0.843317764351577
1.648,-0.841581078276214
1.652,-0.839901788508333
1.656,-0.838278993132017
1.66,-0.836711813775279
1.664,-0.835199394902978
1.668,-0.83374090313434
1.672,-0.832335526584098
1.676,-0.830982474226318
1.68,-0.829680975280025
1.684,-0.828430278615711
1.688,-0.82722965218201
1.692,-0.826078382451637
1.696,-0.824975773885925
1.7,-0.823921148417221
1.704,-0.82291384494839
1.708,-0.821953218868895
1.712,-0.821038641586676
1.716,-0.820169500075367
1.72,-0.819345196436135
1.724,-0.818565147473687
1.728,-0.817828784285898
1.732,-0.817135551866476
1.736,-0.816484908720289
1.74,-0.815876326490806
1.744,-0.815309289599201
1.748,-0.814783294894761
1.752,-0.814297851316098
1.756,-0.813852479562833
1.76,-0.813446711777311
1.764,-0.813080091236077
1.768,-0.812752172050618
1.772,-0.812462518877194
1.776,-0.812210706635298
1.78,-0.811996320234531
1.784,-0.811818954309511
1.788,-0.811678212962637
1.792,-0.81157370951428
1.796,-0.81150506626027
1.8,-0.811471914236399
1.804,-0.811473892989567
1.808,-0.811510650355568
1.812,-0.811581842243021
1.816,-0.811687132423474
1.82,-0.811826192327257
1.824,-0.811998700845056
1.828,-0.812204344134876
1.832,-0.812442815434296
1.836,-0.812713814877789
1.84,-0.813017049318933
1.844,-0.813352232157369
1.848,-0.813719083170294
1.852,-0.81411732834841
1.856,-0.814546699736088
1.86,-0.815006935275654
1.864,-0.815497778655655
1.868,-0.816018979162949
1.872,-0.816570291538483
1.876,-0.817151475836666
1.88,-0.817762297288156
1.884,-0.818402526166022
1.888,-0.819071937655079
1.892,-0.81977031172434
1.896,-0.820497433002476
1.9,-0.821253090656131
1.904,-0.822037078271084
1.908,-0.82284919373603
1.912,-0.823689239129022
1.916,-0.824557020606379
1.92,-0.825452348294028
1.924,-0.826375036181168
1.928,-0.827324902016188
1.932,-0.828301767204748
1.936,-0.829305456709948
1.94,-0.830335798954494
1.944,-0.831392625724841
1.948,-0.832475772077138
1.952,-0.833585076245041
1.956,-0.834720379549195
1.96,-0.835881526308415
1.964,-0.837068363752428
1.968,-0.838280741936196
1.972,-0.839518513655676
1.976,-0.84078153436501
1.98,-0.842069662095074
1.984,-0.843382757373321
1.988,-0.844720683144874
1.992,-0.846083304694811
1.996,-0.847470489571591
2,-0.848882107511579
